Region,total immigrants,total emigrants,migration increase (decrease)
Vinnytsya,5440,8289,-2849
Volyn,5259,4878,381
Dnipropetrovsk,5284,7222,-1938
Donetsk,2085,3534,-1449
Zhytomyr,5948,7481,-1533
Zakarpattya,2405,2973,-568
Zaporizhya,3370,4295,-925
Ivano-Frankivsk,5661,5919,-258
Kyiv,28059,10942,17117
Kirovohrad,2585,4874,-2289
Luhansk,1178,2085,-907
Lviv,8111,8659,-548
Mykolayiv,2555,4639,-2084
Odesa,8647,8574,73
Poltava,7593,7835,-242
Rivne,6553,6763,-210
Sumy,3530,5297,-1767
Ternopil,4593,5673,-1080
Kharkiv,6238,8466,-2228
Kherson,2565,4001,-1436
Khmelnytskiy,5820,7097,-1277
Cherkasy,5611,6921,-1310
Chernivtsi,2991,3032,-41
Chernihiv,4046,4836,-790
City of Kyiv,N/A,N/A,N/A
