Region,total immigrants,total emigrants,migration increase (decrease)
Vinnytsya,41,31,10
Volyn,75,80,-5
Dnipropetrovsk,153,65,88
Donetsk,23,17,6
Zhytomyr,111,44,67
Zakarpattya,223,277,-54
Zaporizhya,100,65,35
Ivano-Frankivsk,217,122,95
Kyiv,1647,201,1446
Kirovohrad,37,33,4
Luhansk,26,13,13
Lviv,119,90,29
Mykolayiv,87,48,39
Odesa,235,171,64
Poltava,476,163,313
Rivne,128,201,-73
Sumy,27,30,-3
Ternopil,269,74,195
Kharkiv,344,119,225
Kherson,46,45,1
Khmelnytskiy,190,59,131
Cherkasy,81,49,32
Chernivtsi,563,110,453
Chernihiv,81,38,43
City of Kyiv,N/A,N/A,N/A
