Region,total immigrants,total emigrants,migration increase (decrease)
Vinnytsya,480,388,92
Volyn,170,230,-60
Dnipropetrovsk,2350,949,1401
Donetsk,616,598,18
Zhytomyr,454,176,278
Zakarpattya,918,559,359
Zaporizhya,1006,661,345
Ivano-Frankivsk,667,485,182
Kyiv,3358,549,2809
Kirovohrad,125,161,-36
Luhansk,313,270,43
Lviv,1031,767,264
Mykolayiv,493,527,-34
Odesa,2660,420,2240
Poltava,1803,994,809
Rivne,330,459,-129
Sumy,560,592,-32
Ternopil,1335,290,1045
Kharkiv,7090,5274,1816
Kherson,97,176,-79
Khmelnytskiy,674,202,472
Cherkasy,479,279,200
Chernivtsi,1463,462,1001
Chernihiv,105,112,-7
City of Kyiv,13147,7007,6140
